ID,LegacyID,FirstName,LastName,Department,AvgRating,NumRatings,AvgDifficulty,WouldTakeAgainPercent,CleanedFirstName,CleanedLastName,instructors,BestCourseMatch,MatchScore
VGVhY2hlci0yNDQ5NzMx,2449731,Prerna,Gera,Mathematics,1.2,27,4.2,3.7037,Prerna,Gera,Prerna Gera,,0
VGVhY2hlci0zNTU3Njg=,355768,Ismor,Fischer,Statistics,3.4,111,3.2,65.7143,Ismor,Fischer,Ismor Fischer,,0
VGVhY2hlci0xOTQwOTM2,1940936,Martine ,Debaisieux,Languages,4.7,5,3.0,100.0,Martine,Debaisieux,Martine Debaisieux,Martine Debaisieux,100
VGVhY2hlci0yMzIxNTA0,2321504,John,Wiltshire-Gordon,Mathematics,1.5,4,4.3,0.0,John,Wiltshire-Gordon,John Wiltshire-Gordon,,0
VGVhY2hlci0yMDYxODIw,2061820,Andrew,Peck,Communication,3.9,7,3.7,60.0,Andrew,Peck,Andrew Peck,,0
VGVhY2hlci0yMTQwOTQ4,2140948,Paul,Hoban,Business,4.4,15,3.3,92.8571,Paul,Hoban,Paul Hoban,,0
VGVhY2hlci0yMTI0NzEy,2124712,Loris,D'Antoni,Computer Science,3.7,8,3.4,40.0,Loris,D'Antoni,Loris D'Antoni,Loris D'Antoni,100
VGVhY2hlci0yNDc3MTIz,2477123,Marisa,Palmer,Finance,5.0,6,3.8,100.0,Marisa,Palmer,Marisa Palmer,Marisa Palmer,100
VGVhY2hlci0yNjk4MDc2,2698076,Marina,Zilbergerts,"German, Nordic & Slavic",5.0,1,2.0,100.0,Marina,Zilbergerts,Marina Zilbergerts,,0
VGVhY2hlci0yNTQwNDUw,2540450,Hanlong,Fang,Mathematics,2.6,17,3.4,23.5294,Hanlong,Fang,Hanlong Fang,,0
VGVhY2hlci0yNTk4NzU3,2598757,Miriam,Barcus,Sociology,5.0,5,2.2,100.0,Miriam,Barcus,Miriam Barcus,,0
VGVhY2hlci0yNjQ3MzM4,2647338,Jeff,Chelf,Art,4.7,3,2.0,100.0,Jeff,Chelf,Jeff Chelf,,0
VGVhY2hlci0yMjk3NDcy,2297472,Parry,Karp,Music,5.0,1,2.0,100.0,Parry,Karp,Parry Karp,Parry Karp,100
VGVhY2hlci02NTI3ODc=,652787,Kristin,Neumayer,Languages,4.2,33,2.3,76.9231,Kristin,Neumayer,Kristin Neumayer,,0
VGVhY2hlci0xMzkxMDk1,1391095,Theresa,Duello,Medicine,4.5,5,1.6,100.0,Theresa,Duello,Theresa Duello,Theresa Delgadillo,81
VGVhY2hlci0yNjYzMDk1,2663095,Garrett,Grainger,Sociology,3.0,1,3.0,0.0,Garrett,Grainger,Garrett Grainger,Corbett Grainger,81
VGVhY2hlci0yMzcyODcx,2372871,Andrew,Thomas,English,5.0,3,2.0,100.0,Andrew,Thomas,Andrew Thomas,,0
VGVhY2hlci0yNjk1MTkx,2695191,Deb,Loewen,Fine Arts,3.0,1,4.0,0.0,Deb,Loewen,Deb Loewen,,0
VGVhY2hlci0yNTgwOTEy,2580912,Earlence,Fernandes,Computer Science,3.2,5,3.4,60.0,Earlence,Fernandes,Earlence Fernandes,,0
VGVhY2hlci0yNjkzNzcx,2693771,Daniel,Wangerin,Accounting,5.0,1,3.0,100.0,Daniel,Wangerin,Daniel Wangerin,Dan Wangerin,89
VGVhY2hlci0yMzcwMDgw,2370080,Jesse,Gant,History,2.0,6,4.0,16.6667,Jesse,Gant,Jesse Gant,,0
VGVhY2hlci0xMDE3MTM1,1017135,James,Johannes,Business,4.8,25,2.8,100.0,James,Johannes,James Johannes,,0
VGVhY2hlci0yNjUxODM5,2651839,Jiepu,Jiang,Information Science,5.0,4,2.8,100.0,Jiepu,Jiang,Jiepu Jiang,,0
VGVhY2hlci0yNjU3MjY1,2657265,Corie,Marshall,Literature,5.0,2,3.5,100.0,Corie,Marshall,Corie Marshall,,0
VGVhY2hlci0yNjkwMjI4,2690228,Marcos,Picchio,Philosophy,5.0,1,3.0,100.0,Marcos,Picchio,Marcos Picchio,,0
VGVhY2hlci0yNDc2NTk0,2476594,Hyejin,Yeon,Mathematics,5.0,2,2.0,100.0,Hyejin,Yeon,Hyejin Yeon,,0
VGVhY2hlci0xODQ0NTQz,1844543,Aaron,Granat,Film,3.0,29,3.4,56.25,Aaron,Granat,Aaron Granat,,0
